date,ticker,label
2026-08-13,BRPT,draw
2026-08-13,CDIA,draw
2026-08-13,ESSA,draw
2026-08-13,PTRO,draw
2026-08-13,RAJA,draw
2026-08-13,TPIA,draw
2026-08-13,VKTR,draw
2026-08-14,BUMI,win
2026-08-18,BRMS,win
2026-08-18,BYAN,win
2026-08-18,FAST,win
2026-08-18,INDY,win
2026-08-18,MGLV,win
2026-08-18,PACK,win
2026-08-18,TEBE,win
2026-08-18,DSSA,loss
2026-08-18,ENRG,loss
2026-08-18,TINS,loss
2026-08-18,VKTR,loss
2026-08-19,PWON,win
2026-08-19,RMKE,win
2026-08-19,BSDE,loss
2026-08-19,COIN,loss
2026-08-19,EMTK,loss
2026-08-19,INET,loss
2026-08-19,LPKR,loss
2026-08-19,PACK,loss
2026-08-19,BBCA,draw
2026-08-20,AMMN,win
2026-08-20,BRMS,win
2026-08-20,BULL,win
2026-08-20,COIN,win
2026-08-20,DEWA,win
2026-08-20,HATM,win
2026-08-20,HRTA,win
2026-08-20,INET,win
2026-08-20,KIJA,win
2026-08-20,KLBF,win
2026-08-20,NCKL,win
2026-08-20,PACK,win
2026-08-20,PSAB,win
2026-08-20,CUAN,loss
2026-08-20,INDY,loss
2026-08-20,RAJA,loss
2026-08-20,TINS,loss
2026-08-20,BMRI,draw
2026-08-20,MDKA,draw
2026-08-20,RATU,draw
2026-08-21,BIPI,win
2026-08-21,BMRI,win
2026-08-21,BNBR,win
2026-08-21,BUMI,win
2026-08-21,BUVA,win
2026-08-21,JARR,win
2026-08-21,MINA,win
2026-08-21,PSAB,win
2026-08-21,RATU,win
2026-08-21,TEBE,win
2026-08-21,BRRC,loss
2026-08-21,COIN,loss
2026-08-21,BBCA,draw
2026-08-21,BRPT,draw
2026-08-24,ADMR,loss
2026-08-24,ARCI,loss
2026-08-24,HRTA,loss
2026-08-24,INET,loss
2026-08-24,KETR,loss
2026-08-24,WIFI,loss
2026-08-26,AUTO,win
2026-08-26,COIN,win
2026-08-26,ELITT,win
2026-08-26,EMAS,win
2026-08-26,MBMA,win
2026-08-26,NZIA,win
2026-08-26,PACK,win
2026-08-26,PADI,win
2026-08-26,RGAS,win
2026-08-26,ARKO,loss
2026-08-26,GJTL,draw
2026-08-27,BIPI,win
2026-08-27,BNBR,win
