variant_id,variant_label,ticker,entry_signals,total_trades,avg_return_per_trade,avg_win_rate,avg_holding_period_actual,max_drawdown_per_trade,coverage_collapsed
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,AMRT,196,87,1.6349,49.4253,10.8621,5.1654,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,ANTM,217,81,2.204,45.679,11.642,5.415,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,ASII,272,131,1.1665,45.0382,11.1374,3.7797,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,AUTO,305,118,1.0577,44.0678,11.5254,3.8277,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,BBCA,263,124,0.6336,54.0323,11.9758,3.3948,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,BBNI,263,113,1.1639,50.4425,11.6726,3.6636,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,BBRI,247,114,0.0725,49.1228,11.5351,3.9862,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,BBTN,187,77,0.1353,41.5584,11.7273,4.6956,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,BMRI,261,116,1.5625,54.3103,12.3362,3.8759,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,BRPT,209,97,3.7144,37.1134,9.8247,6.0242,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,BSDE,214,88,0.3347,38.6364,11.3523,5.1561,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,CPIN,222,101,1.7857,41.5842,10.9802,4.6412,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,CTRA,335,131,1.8155,42.7481,11.5038,5.4733,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,ERAA,141,64,0.1831,42.1875,10.7344,6.4555,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,ESSA,160,58,2.4863,41.3793,11.6034,6.844,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,EXCL,259,108,0.3043,42.5926,10.9167,5.103,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,GGRM,236,110,0.0056,38.1818,10.2727,3.6138,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,GOTO,33,13,-1.0108,30.7692,11.6923,8.6656,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,HMSP,256,114,0.3032,46.4912,10.9386,4.4354,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,ICBP,300,130,1.6492,49.2308,11.8538,4.1188,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,INCO,248,101,1.2359,45.5446,10.9604,5.4017,False
atr_trailing_stop_with_layer3_toggle,ATR trailing stop with Layer 3 toggle,INDF,257,119,1.1074,46.2185,12.084,4.26,False
