variant_id,variant_label,date,active_ticker_count,available_ticker_count,target_selected_count
layer1_only,Layer 1 only,2001-03-16,0,10,0
layer1_only,Layer 1 only,2001-03-19,0,10,0
layer1_only,Layer 1 only,2001-03-20,0,10,0
layer1_only,Layer 1 only,2001-03-21,0,10,0
layer1_only,Layer 1 only,2001-03-22,0,10,0
layer1_only,Layer 1 only,2001-03-23,0,10,0
layer1_only,Layer 1 only,2001-03-26,0,10,0
layer1_only,Layer 1 only,2001-03-27,0,10,0
layer1_only,Layer 1 only,2001-03-28,0,10,0
layer1_only,Layer 1 only,2001-03-29,0,10,0
layer1_only,Layer 1 only,2001-03-30,0,10,0
layer1_only,Layer 1 only,2001-04-02,0,10,0
layer1_only,Layer 1 only,2001-04-03,0,10,0
layer1_only,Layer 1 only,2001-04-04,0,10,0
layer1_only,Layer 1 only,2001-04-05,0,11,0
layer1_only,Layer 1 only,2001-04-06,0,11,0
layer1_only,Layer 1 only,2001-04-09,0,11,0
layer1_only,Layer 1 only,2001-04-10,0,11,0
layer1_only,Layer 1 only,2001-04-11,0,11,0
layer1_only,Layer 1 only,2001-04-12,0,11,0
layer1_only,Layer 1 only,2001-04-13,0,11,0
layer1_only,Layer 1 only,2001-04-16,0,11,0
layer1_only,Layer 1 only,2001-04-17,0,11,0
layer1_only,Layer 1 only,2001-04-18,0,11,0
layer1_only,Layer 1 only,2001-04-19,0,11,0
layer1_only,Layer 1 only,2001-04-20,0,11,0
layer1_only,Layer 1 only,2001-04-23,0,11,0
layer1_only,Layer 1 only,2001-04-24,0,11,0
layer1_only,Layer 1 only,2001-04-25,0,11,0
layer1_only,Layer 1 only,2001-04-26,0,11,0
layer1_only,Layer 1 only,2001-04-27,0,11,0
layer1_only,Layer 1 only,2001-04-30,0,11,0
layer1_only,Layer 1 only,2001-05-01,0,11,0
layer1_only,Layer 1 only,2001-05-02,0,11,0
layer1_only,Layer 1 only,2001-05-03,0,11,0
layer1_only,Layer 1 only,2001-05-04,0,11,0
layer1_only,Layer 1 only,2001-05-07,0,11,0
layer1_only,Layer 1 only,2001-05-08,0,11,0
layer1_only,Layer 1 only,2001-05-09,0,11,0
layer1_only,Layer 1 only,2001-05-10,0,11,0
layer1_only,Layer 1 only,2001-05-11,0,11,0
layer1_only,Layer 1 only,2001-05-14,0,11,0
layer1_only,Layer 1 only,2001-05-15,0,11,0
layer1_only,Layer 1 only,2001-05-16,0,11,0
layer1_only,Layer 1 only,2001-05-17,0,11,0
layer1_only,Layer 1 only,2001-05-18,0,11,0
layer1_only,Layer 1 only,2001-05-21,0,11,0
layer1_only,Layer 1 only,2001-05-22,0,11,0
layer1_only,Layer 1 only,2001-05-23,0,11,0
layer1_only,Layer 1 only,2001-05-24,0,11,0
