ticker,config_id,hold_period,min_trades_threshold,profit_buffer_pct,applied_threshold,applied_strict_mode,total_trades,win_rate,buffered_win_rate,average_return,max_drawdown,eligible_for_analysis,score_quality_reward,score_trade_support_reward,score_drawdown_penalty,score_low_trade_penalty,score,category,market_cap_group,sector,beta_group
ICBP,hold_5_mintrades_5,5,5,0.0,1.5,False,96,41.67,41.6667,-0.2831,31.7293,True,11.7923,20.0,15.8646,0.0,15.9276,consumer,,konsumsi,
INDF,hold_7_mintrades_10,7,10,0.0,1.5,False,73,60.27,60.274,0.851,20.4279,True,20.2097,40.0,10.214,0.0,49.9958,consumer,,konsumsi,
INDF,hold_5_mintrades_10,5,10,0.0,1.5,False,85,54.12,54.1176,0.5083,16.6909,True,17.506,40.0,8.3454,0.0,49.1606,consumer,,konsumsi,
INDF,hold_3_mintrades_10,3,10,0.0,1.5,False,102,45.1,45.098,0.1557,18.8413,True,13.9186,40.0,9.4207,0.0,44.498,consumer,,konsumsi,
INDF,hold_7_mintrades_8,7,8,0.0,1.5,False,73,60.27,60.274,0.851,20.4279,True,20.2097,32.0,10.214,0.0,41.9958,consumer,,konsumsi,
INDF,hold_5_mintrades_8,5,8,0.0,1.5,False,85,54.12,54.1176,0.5083,16.6909,True,17.506,32.0,8.3454,0.0,41.1606,consumer,,konsumsi,
INDF,hold_3_mintrades_8,3,8,0.0,1.5,False,102,45.1,45.098,0.1557,18.8413,True,13.9186,32.0,9.4207,0.0,36.498,consumer,,konsumsi,
INDF,hold_7_mintrades_5,7,5,0.0,1.5,False,73,60.27,60.274,0.851,20.4279,True,20.2097,20.0,10.214,0.0,29.9957,consumer,,konsumsi,
INDF,hold_5_mintrades_5,5,5,0.0,1.5,False,85,54.12,54.1176,0.5083,16.6909,True,17.506,20.0,8.3454,0.0,29.1606,consumer,,konsumsi,
INDF,hold_3_mintrades_5,3,5,0.0,1.5,False,102,45.1,45.098,0.1557,18.8413,True,13.9186,20.0,9.4207,0.0,24.498,consumer,,konsumsi,
TLKM,hold_3_mintrades_10,3,10,0.0,1.5,False,105,41.9,41.9048,-0.4382,43.9832,True,11.4759,40.0,21.9916,0.0,29.4843,telco,,telekomunikasi,
TLKM,hold_7_mintrades_10,7,10,0.0,1.5,False,84,40.48,40.4762,-0.6902,53.6888,True,10.4174,40.0,26.8444,0.0,23.573,telco,,telekomunikasi,
TLKM,hold_5_mintrades_10,5,10,0.0,1.5,False,92,39.13,39.1304,-0.7489,56.4716,True,9.8669,40.0,28.2358,0.0,21.6311,telco,,telekomunikasi,
TLKM,hold_3_mintrades_8,3,8,0.0,1.5,False,105,41.9,41.9048,-0.4382,43.9832,True,11.4759,32.0,21.9916,0.0,21.4843,telco,,telekomunikasi,
TLKM,hold_7_mintrades_8,7,8,0.0,1.5,False,84,40.48,40.4762,-0.6902,53.6888,True,10.4174,32.0,26.8444,0.0,15.573,telco,,telekomunikasi,
TLKM,hold_5_mintrades_8,5,8,0.0,1.5,False,92,39.13,39.1304,-0.7489,56.4716,True,9.8669,32.0,28.2358,0.0,13.6311,telco,,telekomunikasi,
TLKM,hold_3_mintrades_5,3,5,0.0,1.5,False,105,41.9,41.9048,-0.4382,43.9832,True,11.4759,20.0,21.9916,0.0,9.4843,telco,,telekomunikasi,
TLKM,hold_7_mintrades_5,7,5,0.0,1.5,False,84,40.48,40.4762,-0.6902,53.6888,True,10.4174,20.0,26.8444,0.0,3.573,telco,,telekomunikasi,
