ticker,label,n_trades,n_episodes,verdict,detail,wr_pct,mean_pct,median_pct,ci95_lo_pct,p1,p3,p4,passed
ARTO,MOMENTUM,108,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
ATLA,MOMENTUM,52,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
BAJA,MOMENTUM,84,14,LULUS PENUH,,64.28571428571429,3.2060221161215394,1.172353759154388,0.5530266692043103,True,True,True,3.0
BBCA,MOMENTUM,65,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
BBRI,MOMENTUM,73,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
BBTN,MOMENTUM,104,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
BIPI,MOMENTUM,103,14,LULUS PENUH,,78.57142857142857,1.7854324208402588,0.5833333333333364,0.4591779065893784,True,True,True,3.0
BKSL,MOMENTUM,112,12,LULUS PENUH,,75.0,1.3073593886765815,1.615100601971632,0.27852167126318705,True,True,True,3.0
BMRI,MOMENTUM,104,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
BNBR,MOMENTUM,109,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
BNGA,MOMENTUM,106,14,LULUS 0/3,,7.142857142857142,-1.4402536591604385,-1.44079555804072,-1.7181103707050296,False,False,False,0.0
BREN,MOMENTUM,128,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
BRMS,MOMENTUM,143,13,LULUS 0/3,,46.15384615384615,-0.08383030169045193,-0.2766206322657931,-0.7572133840661456,False,False,False,0.0
BSDE,MOMENTUM,95,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
BSSR,MOMENTUM,116,13,LULUS 0/3,,0.0,-1.6824749185452288,-1.7028740335471593,-2.0388946038381675,False,False,False,0.0
BULL,MOMENTUM,147,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
BUVA,MOMENTUM,150,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
CBRE,MOMENTUM,93,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
CDIA,MOMENTUM,43,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
COCO,MOMENTUM,62,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
COIN,MOMENTUM,61,2,SAMPEL TIPIS,cuma 2 episode (min 12),,,,,,,,
CTTH,MOMENTUM,194,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
CUAN,MOMENTUM,150,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
DOOH,MOMENTUM,130,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
DSSA,MOMENTUM,245,12,LULUS PENUH,,83.33333333333334,0.8169986801818926,0.6197327190960598,0.14976765085395277,True,True,True,3.0
ELSA,MOMENTUM,134,16,LULUS 0/3,,12.5,-0.6455835907155211,-0.8164549033080736,-1.2997205694614422,False,False,False,0.0
EMTK,MOMENTUM,101,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
ENRG,MOMENTUM,204,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
ERAA,MOMENTUM,82,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
FUTR,MOMENTUM,159,5,SAMPEL TIPIS,cuma 5 episode (min 12),,,,,,,,
GDST,MOMENTUM,107,14,LULUS 2/3,,35.714285714285715,0.2962877536833685,-0.37728918549033774,-0.7898438514859564,True,True,False,2.0
GGRM,MOMENTUM,104,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
GPSO,MOMENTUM,118,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
GTSI,MOMENTUM,131,8,SAMPEL TIPIS,cuma 8 episode (min 12),,,,,,,,
GULA,MOMENTUM,226,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
HMSP,MOMENTUM,76,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
HRTA,MOMENTUM,194,13,LULUS 2/3,,53.84615384615385,0.3853395790945538,0.29850581412406,-0.34233448703004077,True,True,False,2.0
HUMI,MOMENTUM,99,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
IATA,MOMENTUM,113,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
ICBP,MOMENTUM,71,7,SAMPEL TIPIS,cuma 7 episode (min 12),,,,,,,,
IMPC,MOMENTUM,156,6,SAMPEL TIPIS,cuma 6 episode (min 12),,,,,,,,
INCO,MOMENTUM,125,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
INDF,MOMENTUM,109,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
INDY,MOMENTUM,126,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
INET,MOMENTUM,163,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
INKP,MOMENTUM,137,10,SAMPEL TIPIS,cuma 10 episode (min 12),,,,,,,,
IRSX,MOMENTUM,125,9,SAMPEL TIPIS,cuma 9 episode (min 12),,,,,,,,
ITMG,MOMENTUM,112,12,LULUS 0/3,,0.0,-1.5062612804936961,-1.2454298217017057,-1.9278172188598848,False,False,False,0.0
JGLE,MOMENTUM,133,14,LULUS PENUH,,78.57142857142857,3.4699982190080596,2.2179407239791575,0.8472239667853148,True,True,True,3.0
JKON,MOMENTUM,60,11,SAMPEL TIPIS,cuma 11 episode (min 12),,,,,,,,
